power_roi,power_x,power_y,power_z,matched_region_value,matched_region_name,matched_region_x,matched_region_y,matched_region_z,distance_mm
64,-38,-33,17,8101.0,Region_8101.0,-42.346666666666664,-20.03555555555556,8.675555555555562,16.008332398249333
65,-60,-25,14,8111.0,Region_8111.0,-53.435540069686425,-22.009581881533094,5.840592334494772,10.890852498856695
66,-49,-26,5,8111.0,Region_8111.0,-53.435540069686425,-22.009581881533094,5.840592334494772,6.025284054946637
67,43,-23,20,8102.0,Region_8102.0,45.87951807228916,-18.144578313253007,9.044176706827315,12.324642311888732
68,-50,-34,26,6211.0,Region_6211.0,-56.14649681528661,-34.93630573248407,29.119426751592357,6.956070354989304
69,-53,-22,23,6211.0,Region_6211.0,-56.14649681528661,-34.93630573248407,29.119426751592357,14.652502584234997
70,-55,-9,12,2331.0,Region_2331.0,-47.406060606060606,-9.77575757575758,12.638383838383845,7.660107653308769
71,56,-5,13,2332.0,Region_2332.0,52.381667918858,-7.537190082644628,13.32982719759579,4.431528691678025
72,59,-17,29,6212.0,Region_6212.0,57.262411347517734,-32.817629179331306,33.13475177304964,16.441191544556784
73,-30,-27,12,8101.0,Region_8101.0,-42.346666666666664,-20.03555555555556,8.675555555555562,14.560068511573983
74,-41,-75,26,5201.0,Region_5201.0,-32.617125382263,-82.02140672782875,14.767584097859327,15.676093464028618
75,6,67,-4,2612.0,Region_2612.0,7.834112149532714,50.406542056074755,-8.516355140186917,17.294631469510186
76,8,48,-15,2612.0,Region_2612.0,7.834112149532714,50.406542056074755,-8.516355140186917,6.9178475058915385
77,-13,-40,1,9031.0,Region_9031.0,-14.343111111111114,-44.66311111111111,-18.261333333333333,19.863220143499788
78,-18,63,-9,2611.0,Region_2611.0,-5.438108484005568,52.51738525730181,-8.856745479833101,16.36174966686004
79,-46,-61,21,6221.0,Region_6221.0,-44.434782608695656,-62.08184143222506,34.28303495311168,13.418617810046868
80,43,-72,28,6222.0,Region_6222.0,45.22831050228311,-61.23858447488584,37.31506849315069,14.406385141000566
